pipe_dn,pipe_schedule,flange_class,outside_diameter,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,hot_spot_stress,frequency,max_deformation,x_deformation_position,y_deformation_position,z_deformation_position,support_right,support_left,support,ratio,allowable_deformation
50,40,600,60.3,2640.0,4141.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,34.739,3.8761,6.393,-512.53,6.274,27.488,Fixed,Fixed,Fixed_Fixed,1.526,9.754
50,40,150,60.3,3493.0,4734.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,39.981,3.8262,12.102,-475.74,24.522,11.809,Fixed,Fixed,Fixed_Fixed,1.326,16.043
50,40,150,60.3,3359.0,3482.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,36.829,5.1773,7.198,-89.874,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.439,10.359
50,40,150,60.3,1563.0,2167.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,18.556,14.9679,1.0923,-251.12,0.0,30.15,Fixed,Fixed,Fixed_Fixed,2.856,3.12
50,40,150,60.3,616.0,4796.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,3.297,12.095,0.59939,-2053.4,6.4915,28.441,Fixed,Fixed,Fixed_Fixed,16.075,9.635
50,40,150,60.3,3926.0,3027.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,35.833,5.1105,7.3603,356.8,6.274,27.488,Fixed,Fixed,Fixed_Fixed,1.479,10.886
50,40,300,60.3,2561.0,2516.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,26.428,7.3172,2.8954,69.9,0.0,30.15,Fixed,Fixed,Fixed_Fixed,2.005,5.807
50,40,300,60.3,1847.0,4315.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,18.0,6.3661,3.8476,-941.33,0.0,30.15,Fixed,Fixed,Fixed_Fixed,2.944,11.329
50,40,300,60.3,2700.0,3949.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,30.331,4.8554,6.2028,-461.33,6.274,27.488,Fixed,Fixed,Fixed_Fixed,1.747,10.839
50,40,300,60.3,1539.0,1770.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,16.495,14.8397,0.7709,-118.45,0.0,30.15,Fixed,Fixed,Fixed_Fixed,3.213,2.477
50,40,300,60.3,1759.0,3098.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,19.683,8.6122,2.2146,-505.84,6.4915,28.441,Fixed,Fixed,Fixed_Fixed,2.693,5.963
50,40,600,60.3,3246.0,4141.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,41.256,3.525,8.8411,-331.1,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.285,11.358
50,40,600,60.3,2920.0,2879.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,34.264,5.1558,4.3288,73.2,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.547,6.696
50,40,600,60.3,1797.0,1523.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,19.165,12.8172,0.76891,122.37,0.0,30.15,Fixed,Fixed,Fixed_Fixed,2.765,2.126
50,40,600,60.3,2156.0,3446.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,27.9,5.8236,3.5535,-478.17,6.0565,26.535,Fixed,Fixed,Fixed_Fixed,1.9,6.75
50,40,600,60.3,1512.0,3679.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,17.679,7.7311,2.2105,-813.86,0.0,30.15,Fixed,Fixed,Fixed_Fixed,2.998,6.627
50,40,150,60.3,3037.0,2748.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,32.323,6.1295,4.3244,145.56,6.709,29.394,Fixed,Fixed,Fixed_Fixed,1.64,7.091
50,40,150,60.3,1060.0,3940.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,5.715,11.4406,1.3743,-1246.0,6.0565,26.535,Fixed,Fixed,Fixed_Fixed,9.274,12.745
50,40,150,60.3,3111.0,571.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,1.136,23.1346,0.35404,1177.1,6.709,29.394,Fixed,Fixed,Fixed_Fixed,46.655,16.518
50,40,150,60.3,4181.0,4168.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,45.906,3.287,13.188,1.5,0.0,61.075,Fixed,Fixed,Fixed_Fixed,1.155,15.226
50,40,150,60.3,1035.0,4104.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,4.421,11.1761,1.3917,-1339.8,0.0,30.15,Fixed,Fixed,Fixed_Fixed,11.988,16.684
50,40,300,60.3,3751.0,3156.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,36.028,3.8217,7.3254,218.96,6.709,29.394,Fixed,Fixed,Fixed_Fixed,1.471,10.776
