Pipe DN,Pipe Schedule,Flange Class,Outside Diamter (mm),Length1,Length2,Wall Thickness (mm),Lumped Mass,Raised Face Depth,W Neck C (mm),Flange Outer Radius,Flange Thickness D (mm),Raised Face Radius,new_col
50,STD,150,60.3,474.0,3489.0,3.91,0.0001,1.5,63.5,76.2,17.6,45.95,62
50,STD,150,60.3,3628.0,2602.0,3.91,0.0001,1.5,63.5,76.2,17.6,45.95,63
50,STD,150,60.3,3216.0,405.0,3.91,0.0001,1.5,63.5,76.2,17.6,45.95,64
50,STD,150,60.3,3956.0,864.0,3.91,0.0001,1.5,63.5,76.2,17.6,45.95,65
50,STD,300,60.3,2459.0,4389.0,3.91,0.0001,1.5,69.9,82.55,20.9,45.95,66
50,STD,300,60.3,2085.0,4734.0,3.91,0.0001,1.5,69.9,82.55,20.9,45.95,67
50,STD,300,60.3,1672.0,2262.0,3.91,0.0001,1.5,69.9,82.55,20.9,45.95,68
50,STD,300,60.3,2919.0,4782.0,3.91,0.0001,1.5,69.9,82.55,20.9,45.95,69
50,STD,300,60.3,696.0,1815.0,3.91,0.0001,1.5,69.9,82.55,20.9,45.95,70
50,STD,600,60.3,3267.0,4547.0,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,71
50,STD,600,60.3,4739.0,3260.0,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,72
50,STD,600,60.3,4489.0,4324.0,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,73
50,STD,600,60.3,4429.0,3074.0,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,74
50,STD,600,60.3,1920.0,2384.0,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,75
50,STD,150,60.3,3605.0,4187.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,76
50,STD,150,60.3,2778.0,4175.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,77
50,STD,150,60.3,3399.0,4008.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,78
50,STD,150,60.3,1561.0,3622.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,79
50,STD,150,60.3,3157.0,2262.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,80
50,STD,300,60.3,526.0,1836.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,81
50,STD,300,60.3,3569.0,4851.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,82
50,STD,300,60.3,1707.0,3691.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,83
50,STD,300,60.3,1078.0,2851.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,84
50,STD,300,60.3,1862.0,786.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,85
50,STD,600,60.3,1078.0,3081.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,86
50,STD,600,60.3,4599.0,3187.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,87
50,STD,600,60.3,1635.0,4763.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,88
50,STD,600,60.3,806.0,2626.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,89
50,STD,600,60.3,850.0,2913.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,90
50,STD,150,60.3,3851.0,4412.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,91
50,STD,150,60.3,4243.0,434.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,92
50,STD,150,60.3,467.0,4011.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,93
50,STD,150,60.3,871.0,1521.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,94
50,STD,150,60.3,4488.0,1055.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,95
50,STD,300,60.3,2721.0,416.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,96
50,STD,300,60.3,4645.0,4448.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,97
50,STD,300,60.3,3032.0,2812.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,98
50,STD,300,60.3,3934.0,3732.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,99
50,STD,300,60.3,2287.0,2123.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,100
50,STD,600,60.3,4180.0,2058.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,101
