Pipe DN,Flange Class,Lumped Mass (kg)
50,150,17
50,300,30
50,600,45
65,150,23
65,300,45
65,600,55
80,150,29
80,300,57
80,600,76
90,150,38
90,300,72.5
90,600,101.5
100,150,47
100,300,88
100,600,127
125,150,63.5
125,300,117.5
125,600,202
150,150,80
150,300,147
150,600,277
200,150,129
200,300,219
200,600,485
250,150,192
250,300,368
250,600,754
300,150,287
300,300,522
300,600,936
400,150,571
400,300,1080
400,600,1672
