pipe_dn,pipe_schedule,flange_class,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,frequency,x_deformation_position,y_deformation_position,z_deformation_position,support,allowable_deformation
50,40,600,1512,3679,3.91,33.75,6.4,73.2,82.55,25.4,45.95,7.7311,-813.86,0,30.15,Fixed_Fixed,6.627
50,40,150,3037,2748,3.91,21.25,1.5,63.5,76.2,17.6,45.95,6.1295,145.56,6.709,29.394,Fixed_Fixed,7.091
50,40,150,1060,3940,3.91,21.25,1.5,63.5,76.2,17.6,45.95,11.4406,-1246,6.0565,26.535,Fixed_Fixed,12.745
50,40,150,3111,571,3.91,21.25,1.5,63.5,76.2,17.6,45.95,23.1346,1177.1,6.709,29.394,Fixed_Fixed,16.518
50,40,150,4181,4168,3.91,21.25,1.5,63.5,76.2,17.6,45.95,3.287,1.5,0,61.075,Fixed_Fixed,15.226
50,40,150,1035,4104,3.91,21.25,1.5,63.5,76.2,17.6,45.95,11.1761,-1339.8,0,30.15,Fixed_Fixed,16.684
50,40,300,3751,3156,3.91,37.5,1.5,69.9,82.55,20.9,45.95,3.8217,218.96,6.709,29.394,Fixed_Fixed,10.776
50,40,300,2221,369,3.91,37.5,1.5,69.9,82.55,20.9,45.95,40.5562,789.54,6.709,29.394,Fixed_Fixed,4.738
50,40,300,3960,3396,3.91,37.5,1.5,69.9,82.55,20.9,45.95,3.4398,227.21,0,30.15,Fixed_Fixed,12.275
50,40,300,4079,404,3.91,37.5,1.5,69.9,82.55,20.9,45.95,17.596,1836.1,6.0565,26.535,Fixed_Fixed,5.788
50,40,300,3995,3823,3.91,37.5,1.5,69.9,82.55,20.9,45.95,3.0918,99.607,16.97,21.279,Fixed_Fixed,13.899
50,40,600,3084,2610,3.91,56.25,6.4,73.2,82.55,25.4,45.95,4.5092,195.8,6.4915,28.441,Fixed_Fixed,6.334
50,40,600,3423,675,3.91,56.25,6.4,73.2,82.55,25.4,45.95,15.2233,1122.7,0,30.15,Fixed_Fixed,7.214
50,40,600,3339,2747,3.91,56.25,6.4,73.2,82.55,25.4,45.95,4.0662,205.87,6.4915,28.441,Fixed_Fixed,7.267
50,40,600,2300,940,3.91,56.25,6.4,73.2,82.55,25.4,45.95,14.0516,481.27,0,-30.15,Fixed_Fixed,2.125
50,40,600,2714,4030,3.91,56.25,6.4,73.2,82.55,25.4,45.95,3.5778,-472.4,0,30.15,Fixed_Fixed,9.405
50,STD,150,2656,1653,3.91,0,1.5,63.5,76.2,17.6,45.95,16.0847,437.21,6.274,27.488,Fixed_Fixed,4.8
50,STD,150,474,3489,3.91,0,1.5,63.5,76.2,17.6,45.95,22.8157,-1504.5,6.4915,28.441,Fixed_Fixed,5.039
50,STD,150,3628,2602,3.91,0,1.5,63.5,76.2,17.6,45.95,7.9826,467.98,6.4915,28.441,Fixed_Fixed,9.876
50,STD,150,3216,405,3.91,0,1.5,63.5,76.2,17.6,45.95,27.4274,1389.8,6.274,27.488,Fixed_Fixed,4.031
50,STD,150,3956,864,3.91,0,1.5,63.5,76.2,17.6,45.95,14.9928,1525.6,0,30.15,Fixed_Fixed,25.709
50,STD,300,2459,4389,3.91,0,1.5,69.9,82.55,20.9,45.95,6.5991,-844.38,0,30.15,Fixed_Fixed,15.347
50,STD,300,2085,4734,3.91,0,1.5,69.9,82.55,20.9,45.95,6.888,-1238.9,0,30.15,Fixed_Fixed,19.618
50,STD,300,1672,2262,3.91,0,1.5,69.9,82.55,20.9,45.95,17.6017,-265.28,6.0565,26.535,Fixed_Fixed,4.079
50,STD,300,2919,4782,3.91,0,1.5,69.9,82.55,20.9,45.95,5.2405,-858.51,6.274,27.488,Fixed_Fixed,18.56
50,STD,300,696,1815,3.91,0,1.5,69.9,82.55,20.9,45.95,45.1469,-490.49,0,-30.15,Fixed_Fixed,2.303
50,STD,600,3267,4547,3.91,0,6.4,73.2,82.55,25.4,45.95,4.8906,-579.97,11.809,24.522,Fixed_Fixed,15.248
50,STD,600,4739,3260,3.91,0,6.4,73.2,82.55,25.4,45.95,4.7029,659.85,16.97,21.279,Fixed_Fixed,15.751
