Pipe DN,Pipe Schedule,Flange Class,Outside Diamter (mm),Length1,Length2,Wall Thickness (mm),Lumped Mass,Raised Face Depth,W Neck C (mm),Flange Outer Radius,Flange Thickness D (mm),Raised Face Radius,new_col
50,STD,300,60.3,1722,2040,3.91,0.0001,1.5,69.9,82.55,20.9,45.95,69
50,STD,300,60.3,1440,2475,3.91,0.0001,1.5,69.9,82.55,20.9,45.95,70
50,STD,600,60.3,1475,1786,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,71
50,STD,600,60.3,2109,981,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,72
50,STD,600,60.3,2791,2947,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,73
50,STD,600,60.3,1979,1571,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,74
50,STD,600,60.3,906,1332,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,75
50,STD,150,60.3,442,2169,3.91,17,1.5,63.5,76.2,17.6,45.95,76
50,STD,150,60.3,1842,905,3.91,17,1.5,63.5,76.2,17.6,45.95,77
50,STD,150,60.3,2634,2720,3.91,17,1.5,63.5,76.2,17.6,45.95,78
50,STD,150,60.3,2500,2260,3.91,17,1.5,63.5,76.2,17.6,45.95,79
50,STD,150,60.3,2356,557,3.91,17,1.5,63.5,76.2,17.6,45.95,80
50,STD,300,60.3,2767,1275,3.91,30,1.5,69.9,82.55,20.9,45.95,81
50,STD,300,60.3,1020,2377,3.91,30,1.5,69.9,82.55,20.9,45.95,82
50,STD,300,60.3,2244,479,3.91,30,1.5,69.9,82.55,20.9,45.95,83
50,STD,300,60.3,681,359,3.91,30,1.5,69.9,82.55,20.9,45.95,84
50,STD,300,60.3,2052,1471,3.91,30,1.5,69.9,82.55,20.9,45.95,85
50,STD,600,60.3,1353,1463,3.91,45,6.4,73.2,82.55,25.4,45.95,86
50,STD,600,60.3,2735,2652,3.91,45,6.4,73.2,82.55,25.4,45.95,87
50,STD,600,60.3,2133,1873,3.91,45,6.4,73.2,82.55,25.4,45.95,88
50,STD,600,60.3,1133,484,3.91,45,6.4,73.2,82.55,25.4,45.95,89
50,STD,600,60.3,471,1620,3.91,45,6.4,73.2,82.55,25.4,45.95,90
50,STD,150,60.3,2046,2921,3.91,12.75,1.5,63.5,76.2,17.6,45.95,91
50,STD,150,60.3,2438,1089,3.91,12.75,1.5,63.5,76.2,17.6,45.95,92
50,STD,150,60.3,2106,867,3.91,12.75,1.5,63.5,76.2,17.6,45.95,93
50,STD,150,60.3,2819,902,3.91,12.75,1.5,63.5,76.2,17.6,45.95,94
50,STD,150,60.3,2972,2932,3.91,12.75,1.5,63.5,76.2,17.6,45.95,95
50,STD,300,60.3,1637,338,3.91,22.5,1.5,69.9,82.55,20.9,45.95,96
50,STD,300,60.3,1133,765,3.91,22.5,1.5,69.9,82.55,20.9,45.95,97
50,STD,300,60.3,1572,2480,3.91,22.5,1.5,69.9,82.55,20.9,45.95,98
50,STD,300,60.3,2072,564,3.91,22.5,1.5,69.9,82.55,20.9,45.95,99
50,STD,300,60.3,997,703,3.91,22.5,1.5,69.9,82.55,20.9,45.95,100
50,STD,600,60.3,813,2517,3.91,33.75,6.4,73.2,82.55,25.4,45.95,101
50,STD,600,60.3,2200,2958,3.91,33.75,6.4,73.2,82.55,25.4,45.95,102
50,STD,600,60.3,1624,2631,3.91,33.75,6.4,73.2,82.55,25.4,45.95,103
50,STD,600,60.3,514,2238,3.91,33.75,6.4,73.2,82.55,25.4,45.95,104
50,STD,600,60.3,343,1032,3.91,33.75,6.4,73.2,82.55,25.4,45.95,105
50,STD,150,60.3,841,1780,3.91,21.25,1.5,63.5,76.2,17.6,45.95,106
50,STD,150,60.3,1401,2675,3.91,21.25,1.5,63.5,76.2,17.6,45.95,107
50,STD,150,60.3,1224,2679,3.91,21.25,1.5,63.5,76.2,17.6,45.95,108
50,STD,150,60.3,2883,2268,3.91,21.25,1.5,63.5,76.2,17.6,45.95,109
50,STD,150,60.3,2967,811,3.91,21.25,1.5,63.5,76.2,17.6,45.95,110
50,STD,300,60.3,2469,1099,3.91,37.5,1.5,69.9,82.55,20.9,45.95,111
50,STD,300,60.3,1198,892,3.91,37.5,1.5,69.9,82.55,20.9,45.95,112
50,STD,300,60.3,656,2743,3.91,37.5,1.5,69.9,82.55,20.9,45.95,113
50,STD,300,60.3,1807,397,3.91,37.5,1.5,69.9,82.55,20.9,45.95,114
50,STD,300,60.3,1967,337,3.91,37.5,1.5,69.9,82.55,20.9,45.95,115
50,STD,600,60.3,503,1767,3.91,56.25,6.4,73.2,82.55,25.4,45.95,116
50,STD,600,60.3,2425,673,3.91,56.25,6.4,73.2,82.55,25.4,45.95,117
50,STD,600,60.3,2504,1250,3.91,56.25,6.4,73.2,82.55,25.4,45.95,118
50,STD,600,60.3,1376,2743,3.91,56.25,6.4,73.2,82.55,25.4,45.95,119
50,STD,600,60.3,2152,374,3.91,56.25,6.4,73.2,82.55,25.4,45.95,120
50,80,150,60.3,844,484,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,121
50,80,150,60.3,2625,2765,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,122
50,80,150,60.3,2979,423,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,123
50,80,150,60.3,2021,2505,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,124
50,80,150,60.3,1868,569,5.54,0.0001,1.5,63.5,76.2,17.6,45.95,125
50,80,300,60.3,2779,1578,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,126
50,80,300,60.3,2570,842,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,127
50,80,300,60.3,2797,1997,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,128
50,80,300,60.3,2081,2980,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,129
50,80,300,60.3,2812,2228,5.54,0.0001,1.5,69.9,82.55,20.9,45.95,130
50,80,600,60.3,662,2453,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,131
50,80,600,60.3,2740,2651,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,132
50,80,600,60.3,1122,1062,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,133
50,80,600,60.3,860,662,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,134
50,80,600,60.3,1357,2143,5.54,0.0001,6.4,73.2,82.55,25.4,45.95,135
50,80,150,60.3,2663,927,5.54,17,1.5,63.5,76.2,17.6,45.95,136
50,80,150,60.3,928,2256,5.54,17,1.5,63.5,76.2,17.6,45.95,137
50,80,150,60.3,940,2850,5.54,17,1.5,63.5,76.2,17.6,45.95,138
50,80,150,60.3,2333,764,5.54,17,1.5,63.5,76.2,17.6,45.95,139
