File Name,Max Deformation X,X,Y,Z
0,0.011519,23.9,127.0,0.0
1,0.41559,3064.0,30.15,0.0
10,0.40388,22.4,82.55,0.0
100,0.16061,-2123.0,30.15,0.0
1000,0.14624,-3633.0,50.8,0.0
1001,0.084399,-2713.6,50.8,0.0
1002,0.1164,3079.0,50.8,0.0
1003,0.052157,41.5,114.3,0.0
1004,0.070009,2180.4,50.8,0.0
1005,0.071035,41.5,114.3,0.0
1006,0.036585,-1479.2,50.8,0.0
1007,0.085898,-23.9,107.95,0.0
1008,0.041728,23.9,107.95,0.0
1009,0.13571,-3509.6,50.8,0.0
101,0.37492,-31.8,82.55,0.0
1010,0.12706,-3840.0,50.8,0.0
1011,0.039756,8.675,114.3,0.0
1012,0.075996,-2524.9,-50.8,0.0
1013,0.044469,30.2,-114.3,0.0
1014,0.097914,2958.7,-50.8,0.0
1015,0.026867,30.2,-114.3,0.0
1016,0.013567,-41.5,114.3,0.0
1017,0.0056275,797.47,50.8,0.0
1018,0.031313,41.5,114.3,0.0
1019,0.051007,2263.5,50.8,0.0
102,0.13027,-1866.5,30.15,0.0
1020,0.035138,1868.8,50.8,0.0
1021,0.051558,2118.0,50.8,0.0
1022,0.028483,1706.2,50.8,0.0
1023,0.060766,23.9,107.95,0.0
1024,0.019021,7.1,107.95,0.0
1025,0.021775,-1746.3,50.8,0.0
1026,0.017394,8.675,114.3,0.0
1027,0.043703,1963.2,-50.8,0.0
1028,0.024969,8.675,114.3,0.0
1029,0.067262,-3052.3,50.8,0.0
103,0.075782,-31.8,82.55,0.0
1030,0.026637,30.2,-114.3,0.0
1031,0.022531,1522.7,50.8,0.0
1032,0.019718,-1590.9,50.8,0.0
1033,0.11348,-4134.0,50.8,0.0
1034,0.045053,2341.1,50.8,0.0
1035,0.059204,-41.5,114.3,0.0
1036,0.10735,-4094.0,50.8,0.0
1037,0.039264,23.9,107.95,0.0
1038,0.0078338,991.39,50.8,0.0
1039,0.01437,1288.0,50.8,0.0
104,0.078793,-31.8,82.55,0.0
1040,0.0051129,23.9,107.95,0.0
1041,0.038186,-2142.2,-50.8,0.0
1042,0.051047,8.675,114.3,0.0
1043,0.054062,30.2,-114.3,0.0
1044,0.039091,30.2,-114.3,0.0
1045,0.014698,-1312.7,-50.8,0.0
1046,0.021219,41.5,114.3,0.0
1047,0.055821,2853.7,50.8,0.0
1048,0.012079,41.5,114.3,0.0
1049,0.034172,1905.7,50.8,0.0
