Pipe DN,Flange Class,Lumped Mass (kg)
50,150,12.75
50,300,22.5
50,600,33.75
65,150,17.25
65,300,33.75
65,600,41.25
80,150,21.75
80,300,42.75
80,600,57
90,150,28.5
90,300,54.375
90,600,76.125
100,150,35.25
100,300,66
100,600,95.25
125,150,47.625
125,300,88.125
125,600,151.5
150,150,60
150,300,110.25
150,600,207.75
200,150,96.75
200,300,164.25
200,600,363.75
250,150,144
250,300,276
250,600,565.5
300,150,215.25
300,300,391.5
300,600,702
400,150,428.25
400,300,810
400,600,1254
