Pipe DN,Flange Class,Lumped Mass (kg)
50,150,21.25
50,300,37.5
50,600,56.25
65,150,28.75
65,300,56.25
65,600,68.75
80,150,36.25
80,300,71.25
80,600,95
90,150,47.5
90,300,90.625
90,600,126.875
100,150,58.75
100,300,110
100,600,158.75
125,150,79.375
125,300,146.875
125,600,252.5
150,150,100
150,300,183.75
150,600,346.25
200,150,161.25
200,300,273.75
200,600,606.25
250,150,240
250,300,460
250,600,942.5
300,150,358.75
300,300,652.5
300,600,1170
400,150,713.75
400,300,1350
400,600,2090
