allowable_deformation,frequency,0,0
651.1811023622047,8.5656,8.814208,503.53036
6649.055118110236,3.9866,4.3570867,6715.616
3508.1102362204724,16.0461,15.530153,1862.9376
1186.8503937007874,4.3495,4.5249333,1096.3958
234.64566929133858,21.6986,21.355383,290.7608
3558.740157480315,2.5984,2.1630676,3212.101
9261.023622047243,4.6512,3.8304756,9011.046
4487.322834645669,3.0422,2.87596,4326.1895
195.90551181102362,19.093,18.659782,293.69318
4477.32283464567,4.1503,4.089886,5011.85
1100.472440944882,6.1095,5.222627,719.2784
147.48031496062993,29.561,28.067017,-179.05266
403.3070866141732,17.556,17.981628,501.03488
491.3385826771654,29.829,28.100643,256.4823
5389.76377952756,2.2205,2.0347564,4285.0527
54.094488188976385,41.0402,42.181374,-16.060843
1847.6377952755906,6.7341,7.3693566,2395.3562
972.755905511811,5.52,6.207992,914.705
204.80314960629923,16.5196,16.793142,220.2727
933.6220472440945,3.525,3.153344,869.28546
127.00787401574803,30.1466,28.404238,207.62279
150.39370078740157,25.467,23.69568,171.81494
23743.385826771653,0.9736,-0.21193247,21130.088
32.51968503937008,59.8533,60.540344,207.04608
718.4251968503937,30.0429,29.119392,535.22314
285.748031496063,17.794,17.97834,383.1418
1421.3385826771653,2.7551,2.8863456,1242.1392
292.755905511811,66.3294,62.361244,-214.247
171.57480314960628,37.9013,37.900475,199.41638
86.69291338582677,44.4139,45.610004,136.44505
182.91338582677164,10.2749,10.4058075,80.0464
164.0157480314961,25.2615,26.004385,186.74017
872.0472440944882,4.8554,4.8425336,743.0635
35.118110236220474,97.481,95.719444,74.51629
437.0866141732284,12.8156,14.062905,496.64288
247.55905511811025,23.4512,23.515886,314.16187
247.87401574803152,25.1234,25.666378,233.37004
364.3307086614173,9.1664,8.78937,357.24136
91.25984251968505,64.0013,63.23224,122.71094
1126.5354330708662,4.035,3.9143302,1403.359
91.02362204724409,53.0747,54.413723,62.547455
1782.44094488189,8.7208,8.874003,3534.3855
264.0157480314961,19.4233,17.865808,240.75089
1558.8976377952756,7.1551,7.34092,1386.7563
2306.6141732283468,21.1863,19.648155,1203.8357
395.11811023622045,40.5562,40.515217,317.35947
278.74015748031496,13.8955,13.58403,254.02873
239.21259842519686,14.1232,13.727603,257.8688
955.2755905511812,5.8344,5.9788203,1037.656
146.1417322834646,46.7305,44.95631,31.792583
221.5748031496063,22.5053,22.275444,176.92754
1536.1417322834648,14.0148,13.661639,1282.7883
3149.6062992125985,11.2261,10.805819,2045.4106
15971.968503937009,4.2354,4.620711,6632.177
229.68503937007873,13.3438,12.889043,232.19139
4549.606299212599,15.4405,15.969711,4698.285
85.03937007874016,162.6902,159.15802,93.39364
1774.1732283464569,12.163,12.459893,1359.2104
280.0,54.3521,55.827896,345.39868
182.04724409448818,25.3392,25.302437,267.2851
629.8425196850394,13.72,12.9397955,693.3327
118.66141732283464,44.5457,43.863297,91.254105
577.5590551181102,13.3898,12.732439,484.0075
