pipe_dn,pipe_schedule,flange_class,outside_diameter,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,x_deformation_position,y_deformation_position,z_deformation_position,frequency,support_right,support_left,support,allowable_deformation,,,
50,40,300,60.3,2561,2516,3.91,22.5,1.5,69.9,82.55,20.9,45.95,69.9,0,30.15,7.3172,Fixed,Fixed,Fixed_Fixed,6.174,486.1417323,200.7134248,
50,40,300,60.3,1847,4315,3.91,22.5,1.5,69.9,82.55,20.9,45.95,-941.33,0,30.15,6.3661,Fixed,Fixed,Fixed_Fixed,11.328,891.9685039,320.3993064,
50,40,300,60.3,2700,3949,3.91,22.5,1.5,69.9,82.55,20.9,45.95,-461.33,6.274,27.488,4.8554,Fixed,Fixed,Fixed_Fixed,11.075,872.0472441,238.90961,
50,40,300,60.3,1539,1770,3.91,22.5,1.5,69.9,82.55,20.9,45.95,-118.45,0,30.15,14.8397,Fixed,Fixed,Fixed_Fixed,2.542,200.1574803,167.5967289,
50,40,300,60.3,1759,3098,3.91,22.5,1.5,69.9,82.55,20.9,45.95,-505.84,6.4915,28.441,8.6122,Fixed,Fixed,Fixed_Fixed,5.963,469.5275591,228.1622478,
50,40,600,60.3,3246,4141,3.91,33.75,6.4,73.2,82.55,25.4,45.95,-331.1,0,30.15,3.525,Fixed,Fixed,Fixed_Fixed,11.857,933.6220472,185.6944021,
50,40,600,60.3,2920,2879,3.91,33.75,6.4,73.2,82.55,25.4,45.95,73.2,0,30.15,5.1558,Fixed,Fixed,Fixed_Fixed,7.151,563.0708661,163.80521,
50,40,600,60.3,1797,1523,3.91,33.75,6.4,73.2,82.55,25.4,45.95,122.37,0,30.15,12.8172,Fixed,Fixed,Fixed_Fixed,2.258,177.7952756,128.5825307,
50,40,600,60.3,2156,3446,3.91,33.75,6.4,73.2,82.55,25.4,45.95,-478.17,6.0565,26.535,5.8236,Fixed,Fixed,Fixed_Fixed,6.861,540.2362205,177.5185849,
50,40,600,60.3,1512,3679,3.91,33.75,6.4,73.2,82.55,25.4,45.95,-813.86,0,30.15,7.7311,Fixed,Fixed,Fixed_Fixed,6.625,521.6535433,227.5579664,
50,40,150,60.3,3037,2748,3.91,21.25,1.5,63.5,76.2,17.6,45.95,145.56,6.709,29.394,6.1295,Fixed,Fixed,Fixed_Fixed,7.55,594.488189,205.6065148,
50,40,150,60.3,1060,3940,3.91,21.25,1.5,63.5,76.2,17.6,45.95,-1246,6.0565,26.535,11.4406,Fixed,Fixed,Fixed_Fixed,12.732,1002.519685,647.157967,
50,40,150,60.3,3111,571,3.91,21.25,1.5,63.5,76.2,17.6,45.95,1177.1,6.709,29.394,23.1346,Fixed,Fixed,Fixed_Fixed,16.474,1297.165354,1693.268881,
50,40,150,60.3,4181,4168,3.91,21.25,1.5,63.5,76.2,17.6,45.95,1.5,0,61.075,3.287,Fixed,Fixed,Fixed_Fixed,16.048,1263.622047,234.3610798,
50,40,150,60.3,1035,4104,3.91,21.25,1.5,63.5,76.2,17.6,45.95,-1339.8,0,30.15,11.1761,Fixed,Fixed,Fixed_Fixed,16.665,1312.204724,827.4856432,
50,40,300,60.3,3751,3156,3.91,37.5,1.5,69.9,82.55,20.9,45.95,218.96,6.709,29.394,3.8217,Fixed,Fixed,Fixed_Fixed,11.386,896.5354331,193.3270581,
50,40,300,60.3,2221,369,3.91,37.5,1.5,69.9,82.55,20.9,45.95,789.54,6.709,29.394,40.5562,Fixed,Fixed,Fixed_Fixed,5.018,395.1181102,904.1756012,
50,40,300,60.3,3960,3396,3.91,37.5,1.5,69.9,82.55,20.9,45.95,227.21,0,30.15,3.4398,Fixed,Fixed,Fixed_Fixed,12.938,1018.740157,197.7266505,
50,40,300,60.3,4079,404,3.91,37.5,1.5,69.9,82.55,20.9,45.95,1836.1,6.0565,26.535,17.596,Fixed,Fixed,Fixed_Fixed,5.788,455.7480315,452.4882918,
50,40,300,60.3,3995,3823,3.91,37.5,1.5,69.9,82.55,20.9,45.95,99.607,16.97,21.279,3.0918,Fixed,Fixed,Fixed_Fixed,14.634,1152.283465,201.020021,
50,40,600,60.3,3084,2610,3.91,56.25,6.4,73.2,82.55,25.4,45.95,195.8,6.4915,28.441,4.5092,Fixed,Fixed,Fixed_Fixed,6.768,532.9133858,135.5890815,
50,40,600,60.3,3423,675,3.91,56.25,6.4,73.2,82.55,25.4,45.95,1122.7,0,30.15,15.2233,Fixed,Fixed,Fixed_Fixed,7.717,607.6377953,521.9419175,
50,40,600,60.3,3339,2747,3.91,56.25,6.4,73.2,82.55,25.4,45.95,205.87,6.4915,28.441,4.0662,Fixed,Fixed,Fixed_Fixed,7.76,611.023622,140.1894487,
50,40,600,60.3,2300,940,3.91,56.25,6.4,73.2,82.55,25.4,45.95,481.27,0,-30.15,14.0516,Fixed,Fixed,Fixed_Fixed,2.264,178.2677165,141.3406459,
50,40,600,60.3,2714,4030,3.91,56.25,6.4,73.2,82.55,25.4,45.95,-472.4,0,30.15,3.5778,Fixed,Fixed,Fixed_Fixed,9.691,763.0708661,154.0456801,
50,STD,150,60.3,2656,1653,3.91,0,1.5,63.5,76.2,17.6,45.95,437.21,6.274,27.488,16.0847,Fixed,Fixed,Fixed_Fixed,5.112,402.519685,365.3159892,
50,STD,150,60.3,474,3489,3.91,0,1.5,63.5,76.2,17.6,45.95,-1504.5,6.4915,28.441,22.8157,Fixed,Fixed,Fixed_Fixed,5.342,420.6299213,541.5051009,
50,STD,150,60.3,3628,2602,3.91,0,1.5,63.5,76.2,17.6,45.95,467.98,6.4915,28.441,7.9826,Fixed,Fixed,Fixed_Fixed,10.491,826.0629921,372.0712603,
50,STD,150,60.3,3216,405,3.91,0,1.5,63.5,76.2,17.6,45.95,1389.8,6.274,27.488,27.4274,Fixed,Fixed,Fixed_Fixed,4.029,317.2440945,490.9607551,
50,STD,150,60.3,3956,864,3.91,0,1.5,63.5,76.2,17.6,45.95,1525.6,0,30.15,14.9928,Fixed,Fixed,Fixed_Fixed,25.695,2023.228346,1711.576205,
50,STD,300,60.3,2459,4389,3.91,0,1.5,69.9,82.55,20.9,45.95,-844.38,0,30.15,6.5991,Fixed,Fixed,Fixed_Fixed,15.343,1208.110236,449.8418588,
50,STD,300,60.3,2085,4734,3.91,0,1.5,69.9,82.55,20.9,45.95,-1238.9,0,30.15,6.888,Fixed,Fixed,Fixed_Fixed,19.611,1544.173228,600.1471508,
50,STD,300,60.3,1672,2262,3.91,0,1.5,69.9,82.55,20.9,45.95,-265.28,6.0565,26.535,17.6017,Fixed,Fixed,Fixed_Fixed,4.103,323.0708661,320.8640066,
50,STD,300,60.3,2919,4782,3.91,0,1.5,69.9,82.55,20.9,45.95,-858.51,6.274,27.488,5.2405,Fixed,Fixed,Fixed_Fixed,18.553,1460.866142,431.9681639,
50,STD,300,60.3,696,1815,3.91,0,1.5,69.9,82.55,20.9,45.95,-490.49,0,-30.15,45.1469,Fixed,Fixed,Fixed_Fixed,2.302,181.2598425,461.7406657,
50,STD,600,60.3,3267,4547,3.91,0,6.4,73.2,82.55,25.4,45.95,-579.97,11.809,24.522,4.8906,Fixed,Fixed,Fixed_Fixed,15.562,1225.354331,338.1367896,
50,STD,600,60.3,4739,3260,3.91,0,6.4,73.2,82.55,25.4,45.95,659.85,16.97,21.279,4.7029,Fixed,Fixed,Fixed_Fixed,16.604,1307.401575,346.931185,
50,STD,600,60.3,4489,4324,3.91,0,6.4,73.2,82.55,25.4,45.95,135.16,24.522,11.809,3.8561,Fixed,Fixed,Fixed_Fixed,18.878,1486.456693,323.4216885,
50,STD,600,60.3,4429,3074,3.91,0,6.4,73.2,82.55,25.4,45.95,621.1,6.709,29.394,5.2895,Fixed,Fixed,Fixed_Fixed,14.483,1140.393701,340.3596142,
50,STD,600,60.3,1920,2384,3.91,0,6.4,73.2,82.55,25.4,45.95,-228.88,6.274,27.488,14.3019,Fixed,Fixed,Fixed_Fixed,4.302,338.7401575,273.3562536,
50,STD,150,60.3,3605,4187,3.91,17,1.5,63.5,76.2,17.6,45.95,-230.03,24.522,11.809,3.9156,Fixed,Fixed,Fixed_Fixed,14.137,1113.149606,245.9350617,
50,STD,150,60.3,2778,4175,3.91,17,1.5,63.5,76.2,17.6,45.95,-529.51,6.4915,28.441,4.9316,Fixed,Fixed,Fixed_Fixed,11.651,917.4015748,255.279486,
50,STD,150,60.3,3399,4008,3.91,17,1.5,63.5,76.2,17.6,45.95,-274.81,0,30.15,4.2776,Fixed,Fixed,Fixed_Fixed,12.753,1004.173228,242.3691843,
50,STD,150,60.3,1561,3622,3.91,17,1.5,63.5,76.2,17.6,45.95,-834.88,12.657,26.284,9.2644,Fixed,Fixed,Fixed_Fixed,7.582,597.007874,312.0800081,
50,STD,150,60.3,3157,2262,3.91,17,1.5,63.5,76.2,17.6,45.95,337.75,0,30.15,7.4465,Fixed,Fixed,Fixed_Fixed,6.819,536.9291339,225.5993037,
50,STD,300,60.3,526,1836,3.91,30,1.5,69.9,82.55,20.9,45.95,-495.2,0,30.15,35.5462,Fixed,Fixed,Fixed_Fixed,1.61,126.7716535,254.2634448,
50,STD,300,60.3,3569,4851,3.91,30,1.5,69.9,82.55,20.9,45.95,-491.81,24.522,11.809,2.9899,Fixed,Fixed,Fixed_Fixed,17.502,1378.110236,232.4926422,
50,STD,300,60.3,1707,3691,3.91,30,1.5,69.9,82.55,20.9,45.95,-731.48,6.4915,28.441,7.1885,Fixed,Fixed,Fixed_Fixed,7.78,612.5984252,248.4750259,
50,STD,300,60.3,1078,2851,3.91,30,1.5,69.9,82.55,20.9,45.95,-673.43,0,30.15,13.3347,Fixed,Fixed,Fixed_Fixed,4.268,336.0629921,252.8555734,
50,STD,300,60.3,1862,786,3.91,30,1.5,69.9,82.55,20.9,45.95,377.42,0,30.15,23.9387,Fixed,Fixed,Fixed_Fixed,1.727,135.984252,183.6782658,
50,STD,600,60.3,1078,3081,3.91,45,6.4,73.2,82.55,25.4,45.95,-725.68,0,30.15,11.0916,Fixed,Fixed,Fixed_Fixed,4.214,331.8110236,207.6603592,
50,STD,600,60.3,4599,3187,3.91,45,6.4,73.2,82.55,25.4,45.95,529.3,16.97,21.279,3.0302,Fixed,Fixed,Fixed_Fixed,13.14,1034.645669,176.9015058,
50,STD,600,60.3,1635,4763,3.91,45,6.4,73.2,82.55,25.4,45.95,-1197.6,6.0565,26.535,5.5066,Fixed,Fixed,Fixed_Fixed,11.29,888.976378,276.211873,
50,STD,600,60.3,806,2626,3.91,45,6.4,73.2,82.55,25.4,45.95,-658.92,0,30.15,16.3512,Fixed,Fixed,Fixed_Fixed,2.956,232.7559055,214.7429579,
50,STD,600,60.3,850,2913,3.91,45,6.4,73.2,82.55,25.4,45.95,-786.08,0,-30.15,14.5323,Fixed,Fixed,Fixed_Fixed,3.784,297.9527559,244.3151244,
50,STD,150,60.3,3851,4412,3.91,12.75,1.5,63.5,76.2,17.6,45.95,-238.91,24.522,11.809,3.7375,Fixed,Fixed,Fixed_Fixed,16.197,1275.354331,268.9556389,
50,STD,150,60.3,4243,434,3.91,12.75,1.5,63.5,76.2,17.6,45.95,1904.7,6.274,27.488,16.4262,Fixed,Fixed,Fixed_Fixed,6.029,474.7244094,439.9945131,
50,STD,150,60.3,467,4011,3.91,12.75,1.5,63.5,76.2,17.6,45.95,-1763.2,0,30.15,17.7504,Fixed,Fixed,Fixed_Fixed,6.209,488.8976378,489.6600522,
50,STD,150,60.3,871,1521,3.91,12.75,1.5,63.5,76.2,17.6,45.95,-240.46,0,30.15,33.0877,Fixed,Fixed,Fixed_Fixed,1.281,100.8661417,188.3131204,
50,STD,150,60.3,4488,1055,3.91,12.75,1.5,63.5,76.2,17.6,45.95,1587,16.97,21.279,10.5006,Fixed,Fixed,Fixed_Fixed,48.091,3786.692913,2243.586373,
50,STD,300,60.3,2721,416,3.91,22.5,1.5,69.9,82.55,20.9,45.95,1066.5,0,30.15,32.6223,Fixed,Fixed,Fixed_Fixed,5.371,422.9133858,778.4569497,
50,STD,300,60.3,4645,4448,3.91,22.5,1.5,69.9,82.55,20.9,45.95,133.96,11.809,24.522,2.7514,Fixed,Fixed,Fixed_Fixed,20.374,1604.251969,249.0547937,
50,STD,300,60.3,3032,2812,3.91,22.5,1.5,69.9,82.55,20.9,45.95,112.73,0,30.15,5.8026,Fixed,Fixed,Fixed_Fixed,8.257,650.1574803,212.8677103,
50,STD,300,60.3,3934,3732,3.91,22.5,1.5,69.9,82.55,20.9,45.95,124.6,0,30.15,3.6779,Fixed,Fixed,Fixed_Fixed,14.418,1135.275591,235.5970285,
50,STD,300,60.3,2287,2123,3.91,22.5,1.5,69.9,82.55,20.9,45.95,102.93,0,30.15,9.2433,Fixed,Fixed,Fixed_Fixed,4.61,362.992126,189.3184084,
50,STD,600,60.3,4180,2058,3.91,33.75,6.4,73.2,82.55,25.4,45.95,760.92,6.0565,26.535,5.278,Fixed,Fixed,Fixed_Fixed,9.121,718.1889764,213.8832192,
50,STD,600,60.3,2111,1879,3.91,33.75,6.4,73.2,82.55,25.4,45.95,117.25,6.709,29.394,9.4954,Fixed,Fixed,Fixed_Fixed,3.303,260.0787402,139.343498,
50,STD,600,60.3,1965,615,3.91,33.75,6.4,73.2,82.55,25.4,45.95,497.78,0,30.15,27.9617,Fixed,Fixed,Fixed_Fixed,1.619,127.480315,201.1292764,
50,STD,600,60.3,2312,419,3.91,33.75,6.4,73.2,82.55,25.4,45.95,798.79,0,30.15,35.8209,Fixed,Fixed,Fixed_Fixed,4.175,328.7401575,664.4431732,
50,STD,600,60.3,2157,3875,3.91,33.75,6.4,73.2,82.55,25.4,45.95,-619.67,6.709,29.394,5.3415,Fixed,Fixed,Fixed_Fixed,8.195,645.2755906,194.4809473,
50,STD,150,60.3,4270,4872,3.91,21.25,1.5,63.5,76.2,17.6,45.95,-257.06,11.809,24.522,2.8253,Fixed,Fixed,Fixed_Fixed,19.313,1520.708661,242.4259915,
50,STD,150,60.3,2057,2780,3.91,21.25,1.5,63.5,76.2,17.6,45.95,-270.85,6.0565,26.535,8.4486,Fixed,Fixed,Fixed_Fixed,5.277,415.511811,198.078215,
50,STD,150,60.3,2046,3459,3.91,21.25,1.5,63.5,76.2,17.6,45.95,-511.55,6.709,29.394,7.1528,Fixed,Fixed,Fixed_Fixed,7.221,568.5826772,229.4765423,
50,STD,150,60.3,2255,1608,3.91,21.25,1.5,63.5,76.2,17.6,45.95,231.48,6.709,29.394,12.3334,Fixed,Fixed,Fixed_Fixed,3.312,260.7874016,181.4838632,
50,STD,150,60.3,2295,4184,3.91,21.25,1.5,63.5,76.2,17.6,45.95,-704.5,6.274,27.488,5.5428,Fixed,Fixed,Fixed_Fixed,10.467,824.1732283,257.7604629,
50,STD,300,60.3,3415,4196,3.91,37.5,1.5,69.9,82.55,20.9,45.95,-279.92,0,30.15,3.2701,Fixed,Fixed,Fixed_Fixed,13.949,1098.346457,202.6604387,
50,STD,300,60.3,1192,1080,3.91,37.5,1.5,69.9,82.55,20.9,45.95,81.167,0,30.15,22.636,Fixed,Fixed,Fixed_Fixed,1.151,90.62992126,115.755032,
50,STD,300,60.3,3696,4200,3.91,37.5,1.5,69.9,82.55,20.9,45.95,-182.39,21.279,16.97,3.0544,Fixed,Fixed,Fixed_Fixed,14.934,1175.905512,202.6594821,
50,STD,300,60.3,1492,3454,3.91,37.5,1.5,69.9,82.55,20.9,45.95,-726.8,6.0565,26.535,8.0148,Fixed,Fixed,Fixed_Fixed,6.43,506.2992126,228.9647009,
50,STD,300,60.3,4825,933,3.91,37.5,1.5,69.9,82.55,20.9,45.95,1756.5,11.809,24.522,9.2175,Fixed,Fixed,Fixed_Fixed,54.677,4305.275591,2239.147457,
50,STD,600,60.3,924,395,3.91,56.25,6.4,73.2,82.55,25.4,45.95,198.09,0,30.15,54.042,Fixed,Fixed,Fixed_Fixed,0.353,27.79527559,84.75610475,
50,STD,600,60.3,4092,1857,3.91,56.25,6.4,73.2,82.55,25.4,45.95,807.09,6.4915,28.441,5.0432,Fixed,Fixed,Fixed_Fixed,8.018,631.3385827,179.6540921,
50,STD,600,60.3,1968,3650,3.91,56.25,6.4,73.2,82.55,25.4,45.95,-587.52,6.0565,26.535,5.1467,Fixed,Fixed,Fixed_Fixed,6.833,538.0314961,156.2446463,
50,STD,600,60.3,698,1848,3.91,56.25,6.4,73.2,82.55,25.4,45.95,-408.56,6.709,29.394,21.4051,Fixed,Fixed,Fixed_Fixed,1.384,108.976378,131.6188894,
50,STD,600,60.3,3736,4202,3.91,56.25,6.4,73.2,82.55,25.4,45.95,-185.66,11.809,24.522,2.63,Fixed,Fixed,Fixed_Fixed,13.314,1048.346457,155.5711892,
50,80,150,60.3,4984,4533,5.54,0,1.5,63.5,76.2,17.6,45.95,263.05,5.7844,25.343,3.5578,Fixed,Fixed,Fixed_Fixed,30.324,2387.716535,479.3280995,
50,80,150,60.3,345,4581,5.54,0,1.5,63.5,76.2,17.6,45.95,-2144.5,11.279,23.421,14.6414,Fixed,Fixed,Fixed_Fixed,6.851,539.4488189,445.6577298,
50,80,150,60.3,1417,4331,5.54,0,1.5,63.5,76.2,17.6,45.95,-1412.5,6.4008,28.044,10.105,Fixed,Fixed,Fixed_Fixed,36.392,2865.511811,1633.830925,
50,80,150,60.3,2471,1634,5.54,0,1.5,63.5,76.2,17.6,45.95,399.31,6.4008,28.044,17.8597,Fixed,Fixed,Fixed_Fixed,5.753,452.992126,456.492245,
50,80,150,60.3,3897,2502,5.54,0,1.5,63.5,76.2,17.6,45.95,661.46,0,30.15,7.7287,Fixed,Fixed,Fixed_Fixed,15.13,1191.338583,519.5295427,
50,80,300,60.3,4871,4133,5.54,0,1.5,69.9,82.55,20.9,45.95,390.94,25.343,5.7844,3.8567,Fixed,Fixed,Fixed_Fixed,27.968,2202.204724,479.2279498,
50,80,300,60.3,4605,3629,5.54,0,1.5,69.9,82.55,20.9,45.95,471.78,6.4008,28.044,4.5834,Fixed,Fixed,Fixed_Fixed,23.739,1869.212598,483.4093558,
50,80,300,60.3,3061,312,5.54,0,1.5,69.9,82.55,20.9,45.95,1389.1,0,30.15,31.1571,Fixed,Fixed,Fixed_Fixed,3.61,284.2519685,499.7227263,
50,80,300,60.3,2389,1792,5.54,0,1.5,69.9,82.55,20.9,45.95,277.88,5.7844,25.343,16.3191,Fixed,Fixed,Fixed_Fixed,5.753,452.992126,417.1146546,
50,80,300,60.3,2373,1806,5.54,0,1.5,69.9,82.55,20.9,45.95,276.48,6.709,29.394,16.3144,Fixed,Fixed,Fixed_Fixed,5.724,450.7086614,414.8925169,
50,80,600,60.3,3562,1730,5.54,0,6.4,73.2,82.55,25.4,45.95,825.15,6.0926,26.694,10.8455,Fixed,Fixed,Fixed_Fixed,11.502,905.6692913,554.22717,
50,80,600,60.3,3715,1594,5.54,0,6.4,73.2,82.55,25.4,45.95,987.8,5.7844,25.343,10.9929,Fixed,Fixed,Fixed_Fixed,13.499,1062.913386,659.2934258,
50,80,600,60.3,3753,1042,5.54,0,6.4,73.2,82.55,25.4,45.95,1316.8,0,30.15,14.2682,Fixed,Fixed,Fixed_Fixed,35.101,2763.858268,2225.120568,
50,80,600,60.3,2106,1617,5.54,0,6.4,73.2,82.55,25.4,45.95,230.78,0,30.15,19.4874,Fixed,Fixed,Fixed_Fixed,4.113,323.8582677,356.1045147,
50,80,600,60.3,4743,4184,5.54,0,6.4,73.2,82.55,25.4,45.95,262.86,11.279,23.421,3.8402,Fixed,Fixed,Fixed_Fixed,25.376,1998.110236,432.9541227,
50,80,150,60.3,4030,3857,5.54,17,1.5,63.5,76.2,17.6,45.95,95.099,6.709,29.394,4.0441,Fixed,Fixed,Fixed_Fixed,18.606,1465.03937,334.3026145,
50,80,150,60.3,1512,1941,5.54,17,1.5,63.5,76.2,17.6,45.95,-186.04,0,30.15,16.9996,Fixed,Fixed,Fixed_Fixed,3.334,262.519685,251.8077941,
50,80,150,60.3,3291,2528,5.54,17,1.5,63.5,76.2,17.6,45.95,310.69,0,30.15,6.9878,Fixed,Fixed,Fixed_Fixed,10.042,790.7086614,311.763705,
50,80,150,60.3,4272,614,5.54,17,1.5,63.5,76.2,17.6,45.95,1820.3,0,30.15,14.3039,Fixed,Fixed,Fixed_Fixed,12.011,945.7480315,763.3056952,
50,80,150,60.3,337,3289,5.54,17,1.5,63.5,76.2,17.6,45.95,-1485.8,0,30.15,26.5976,Fixed,Fixed,Fixed_Fixed,4.224,332.5984252,499.1501781,
