pipe_dn,pipe_schedule,flange_class,outside_diameter,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,x_deformation_position,y_deformation_position,z_deformation_position,frequency,support_right,support_left,support,allowable_deformation
50,40,300,60.3,1847.0,4315.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,-941.33,0.0,30.15,6.3661,Fixed,Fixed,Fixed_Fixed,11.328
50,40,300,60.3,2700.0,3949.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,-461.33,6.274,27.488,4.8554,Fixed,Fixed,Fixed_Fixed,11.075
50,40,300,60.3,1539.0,1770.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,-118.45,0.0,30.15,14.8397,Fixed,Fixed,Fixed_Fixed,2.542
50,40,300,60.3,1759.0,3098.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,-505.84,6.4915,28.441,8.6122,Fixed,Fixed,Fixed_Fixed,5.963
50,40,600,60.3,3246.0,4141.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,-331.1,0.0,30.15,3.525,Fixed,Fixed,Fixed_Fixed,11.857
50,40,600,60.3,2920.0,2879.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,73.2,0.0,30.15,5.1558,Fixed,Fixed,Fixed_Fixed,7.151
50,40,600,60.3,1797.0,1523.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,122.37,0.0,30.15,12.8172,Fixed,Fixed,Fixed_Fixed,2.258
50,40,600,60.3,2156.0,3446.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,-478.17,6.0565,26.535,5.8236,Fixed,Fixed,Fixed_Fixed,6.861
50,40,600,60.3,1512.0,3679.0,3.91,33.75,6.4,73.2,82.55,25.4,45.95,-813.86,0.0,30.15,7.7311,Fixed,Fixed,Fixed_Fixed,6.625
50,40,150,60.3,3037.0,2748.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,145.56,6.709,29.394,6.1295,Fixed,Fixed,Fixed_Fixed,7.55
50,40,150,60.3,1060.0,3940.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,-1246.0,6.0565,26.535,11.4406,Fixed,Fixed,Fixed_Fixed,12.732
50,40,150,60.3,3111.0,571.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,1177.1,6.709,29.394,23.1346,Fixed,Fixed,Fixed_Fixed,16.474
50,40,150,60.3,4181.0,4168.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,1.5,0.0,61.075,3.287,Fixed,Fixed,Fixed_Fixed,16.048
50,40,150,60.3,1035.0,4104.0,3.91,21.25,1.5,63.5,76.2,17.6,45.95,-1339.8,0.0,30.15,11.1761,Fixed,Fixed,Fixed_Fixed,16.665
50,40,300,60.3,3751.0,3156.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,218.96,6.709,29.394,3.8217,Fixed,Fixed,Fixed_Fixed,11.386
50,40,300,60.3,2221.0,369.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,789.54,6.709,29.394,40.5562,Fixed,Fixed,Fixed_Fixed,5.018
50,40,300,60.3,3960.0,3396.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,227.21,0.0,30.15,3.4398,Fixed,Fixed,Fixed_Fixed,12.938
50,40,300,60.3,4079.0,404.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,1836.1,6.0565,26.535,17.596,Fixed,Fixed,Fixed_Fixed,5.788
50,40,300,60.3,3995.0,3823.0,3.91,37.5,1.5,69.9,82.55,20.9,45.95,99.607,16.97,21.279,3.0918,Fixed,Fixed,Fixed_Fixed,14.634
50,40,600,60.3,3084.0,2610.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,195.8,6.4915,28.441,4.5092,Fixed,Fixed,Fixed_Fixed,6.768
50,40,600,60.3,3423.0,675.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,1122.7,0.0,30.15,15.2233,Fixed,Fixed,Fixed_Fixed,7.717
50,40,600,60.3,3339.0,2747.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,205.87,6.4915,28.441,4.0662,Fixed,Fixed,Fixed_Fixed,7.76
50,40,600,60.3,2300.0,940.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,481.27,0.0,-30.15,14.0516,Fixed,Fixed,Fixed_Fixed,2.264
50,40,600,60.3,2714.0,4030.0,3.91,56.25,6.4,73.2,82.55,25.4,45.95,-472.4,0.0,30.15,3.5778,Fixed,Fixed,Fixed_Fixed,9.691
50,STD,150,60.3,2656.0,1653.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,437.21,6.274,27.488,16.0847,Fixed,Fixed,Fixed_Fixed,5.112
50,STD,150,60.3,474.0,3489.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,-1504.5,6.4915,28.441,22.8157,Fixed,Fixed,Fixed_Fixed,5.342
50,STD,150,60.3,3628.0,2602.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,467.98,6.4915,28.441,7.9826,Fixed,Fixed,Fixed_Fixed,10.491
50,STD,150,60.3,3216.0,405.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,1389.8,6.274,27.488,27.4274,Fixed,Fixed,Fixed_Fixed,4.029
50,STD,150,60.3,3956.0,864.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,1525.6,0.0,30.15,14.9928,Fixed,Fixed,Fixed_Fixed,25.695
50,STD,300,60.3,2459.0,4389.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,-844.38,0.0,30.15,6.5991,Fixed,Fixed,Fixed_Fixed,15.343
50,STD,300,60.3,2085.0,4734.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,-1238.9,0.0,30.15,6.888,Fixed,Fixed,Fixed_Fixed,19.611
50,STD,300,60.3,1672.0,2262.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,-265.28,6.0565,26.535,17.6017,Fixed,Fixed,Fixed_Fixed,4.103
